address,zip,lat_long,neighborhood,status
28-15 42nd street #d1 in astoria,11103,40.7642468:-73.9121229,Northwest Queens,Claim
3225 grand concourse #f52,10468,40.877628:-73.8854181,Bronx Park and Fordham,Claim
3300 bailey ave #a7,10463,40.879467:-73.9008039,Kingsbridge and Riverdale,No Claim
3135 godwin terr #1f,10463,40.8803467:-73.9050183,Kingsbridge and Riverdale,No Claim
1507 saint johns place #a1,11213,40.670623:-73.9278439,Central Brooklyn,Claim
83-46 118th street,11415,None,Southwest Queens,No Claim
333 cypress ave #6b,10454,40.8082297:-73.9134779,Hunts Point and Mott Haven,Claim
159 east 92nd street #1,10128,40.783175:-73.951889,Upper East Side,Claim
263 west 113rd street #2 in  south harlem,10026,40.80226589999999:-73.9557171,Central Harlem,Claim
415 stratford road #5n in ditmas park,11218,40.6385006:-73.96743769999999,Borough Park,Claim
960 willoughby avenue #g6 in bushwick,11221,40.69776419999999:-73.9303333,Bushwick and Williamsburg,Claim
1380 first avenue #3h in lenox hill,10021,40.7687708:-73.9549081,Upper East Side,Claim
352 east 76th street #2rw in lenox hill,10021,40.7706623:-73.9552061,Upper East Side,Claim
165 hester street #5r in little italy,10013,40.7178162:-73.9965314,Greenwich Village and Soho,Claim
13 palmetto street #1 in bushwick,11221,40.6895623:-73.9210906,Bushwick and Williamsburg,No Claim
449 east 84th street #1b in yorkville,10028,40.7749773:-73.9484502,Upper East Side,No Claim
25-56 38th street #1f in astoria,11103,40.76706739999999:-73.9137764,Northwest Queens,No Claim
263 west 123rd street #1a in south harlem,10027,40.8088443:-73.951481,Central Harlem,No Claim
232 east 77th street #2 in  lenox hill,10075,40.7723416:-73.95731339999999,Upper East Side,No Claim
939 68th street #d3 in  dyker heights,11219,40.6290541:-74.0109909,Borough Park,No Claim
31-12 34th street #1a  in astoria,11106,40.7629128:-73.92150389999999,Northwest Queens,No Claim
220 east 18th street #35 in prospect park south,11226,40.6458648:-73.96266229999999,Flatbush,No Claim
31-14 34th street #14 in astoria,11106,40.7628774:-73.9216278,Northwest Queens,Claim
30-60 48th street #2a in astoria,11103,40.7643574:-73.92346189999999,Northwest Queens,No Claim
1796 third avenue #3d in east harlem,10029,40.7876587:-73.9479186,East Harlem,No Claim
128 east 86th street #4b in upper east side,10028,40.7794112:-73.9560271,Upper East Side,Claim
69 west 71st street #3c in  lincoln square,10023,40.7766459:-73.97879019999999,Upper West Side,No Claim
109 luquer street #b3 in  carroll gardens,11231,40.6779801:-74.0008853,Northwest Brooklyn,Claim
249 east 37th street #13w in east flatbush,11203,40.6508922:-73.9425492,Flatbush,No Claim
24-46 44th street #a9 in astoria,11103,40.7671939:-73.9081729,Northwest Queens,No Claim
425 east 65th street #23 in lenox hilll,10065,40.76308160000001:-73.95782419999999,Upper East Side,No Claim
298 convent avenue #4a in hamilton heights,10031,40.8227439:-73.9479066,Inwood and Washington Heights,No Claim
136 west 111st street #1fe in south harlem,10026,40.7993775:-73.953777,Central Harlem,No Claim
2095 madison avenue #1c in central harlem,10037,40.8099339:-73.9371991,Central Harlem,No Claim
1239 pacific street #1f in crown heights,11216,40.677981:-73.951275,Central Brooklyn,Claim
75 thayer street #6g in  fort george,10040,40.8639588:-73.9270726,Inwood and Washington Heights,No Claim
6813 21st avenue #3d in bensohurst,11204,40.6129232:-73.98562,Borough Park,No Claim
31-23 47th street #3d in astoria,11103,40.7579674:-73.9117787,Northwest Queens,No Claim
 293 central park west #4f in upper west side,10024,40.7875953:-73.96801169999999,Upper West Side,No Claim
333 ovington avenue #b58 in bay ridge,11209,40.6347225:-74.02529129999999,Southwest Brooklyn,No Claim
272 division avenue #1dd in williamsburg,11211,40.7068653:-73.9552554,Greenpoint,No Claim
2978 east 196th street #2a in pelham bay,10461,40.8542812:-73.8285277,Southeast Bronx,No Claim
104-20 queens boulevard #2n in forest hills,11375,40.7240354:-73.85008719999999,West Central Queens,No Claim
409 east 87th street #2d in yorkville,10128,40.7773938:-73.9480828,Upper East Side,No Claim
1976 madison avenue #3a in central harlem,10035,40.806626:-73.9402301,East Harlem,No Claim
445 west 48th street #4a in hell's kitchen,10036,40.7632851:-73.9918483,Chelsea and Clinton,No Claim
32 cornelia street #11 in west village,10014,40.73113:-74.0024921,Greenwich Village and Soho,No Claim
33-11 broadway #3f in astoria,10031,40.8192001:-73.95608349999999,Inwood and Washington Heights,No Claim
25-12 41st street #2r in astoria,11103,40.767344:-73.9113881,Northwest Queens,No Claim
123-33 83rd avenue #203 in kew gardens ,11415,40.7115516:-73.8276624,Southwest Queens,No Claim
3054 east tremont avenue #3r in schuylerville ,10461,40.8391592:-73.8367928,Southeast Bronx,No Claim
336 east 61st street #8 in lenox hill,10065,40.7609888:-73.9618588,Upper East Side,No Claim
458 east 144th street #unit2 in north new york,10454,40.8119759:-73.9183923,Hunts Point and Mott Haven,No Claim
104-21 68 drive #a13 in forest hills,11375,40.7246508:-73.8486332,West Central Queens,No Claim
30 west 181st street #d9 in university heights ,10453,40.8561464:-73.906836,Central Bronx,No Claim
599 w 141st st in upper west side,10031,40.8238534:-73.9522032,Inwood and Washington Heights,No Claim
201 west 105th street #3 in manhattan valley,10025,40.800023:-73.9664505,Upper West Side,No Claim
37-53 62nd street #5a in woodside,11377,40.7476906:-73.9010076,West Queens,Claim
865 saint john's place #2a in crown heights,11216,40.6694022:-73.9422324,Central Brooklyn,No Claim
986 rogers avenue #4a in flatbush,11226,40.6461395:-73.9521451,Flatbush,No Claim
2565 grandconcourse #4e in fordham,10468,40.8642859:-73.8963333,Bronx Park and Fordham,No Claim
206 west 21st street #a9 in chelsea,10011,40.7428649:-73.9972646,Chelsea and Clinton,No Claim
73 lexington avenue #d6 in kips bay,10010,40.74111569999999:-73.9833057,Gramercy Park and Murray Hill,Claim
124-07 hillside avenue #1 in kew gardens ,11418,40.7027773:-73.8268468,Southwest Queens,Claim
45 tennis court #6a in prospect park south,11226,40.6487021:-73.9614434,Flatbush,No Claim
1765 townsend avenue #10i in mt. hope,10453,40.6241562:-81.7842373,Central Bronx,No Claim
441 wilson avenue #b2 in bushwick,11221,40.6938992:-73.9133056,Bushwick and Williamsburg,No Claim
128 marine avenue #1g in fort hamilton,11209,40.6168364:-74.0361376,Southwest Brooklyn,No Claim
190 utica avenue #3r in weeksville,11213,40.67225699999999:-73.931112,Central Brooklyn,No Claim
86-20 139th street #2 in briarwood ,11435,40.7073538:-73.8166657,Jamaica,No Claim
133 ft george avenue #4g in fort george,10040,40.8574278:-73.9273252,Inwood and Washington Heights,No Claim
350 wadsworth avenue #4b in fort george,10040,40.8582679:-73.9318299,Inwood and Washington Heights,Claim
630 rugby road #2 in ditmas park,11230,40.6341051:-73.96423829999999,Borough Park,No Claim
267 w 146th street #19 in central harlem ,10039,40.8232948:-73.9406089,Central Harlem,No Claim
"254 seaman avenue #a1 new york, ny 10034 in inwood",10034,None,Inwood and Washington Heights,No Claim
"316 east 93rd street #27 new york, ny 10128 in yorkville ",10128,None,Upper East Side,No Claim
417 west 47th street #2se in hell's kitchen,10036,40.7620958:-73.99104899999999,Chelsea and Clinton,No Claim
5532 netherland avenue #5d in riverdale,10471,40.9032322:-73.9060179,Kingsbridge and Riverdale,No Claim
491 amsterdam avenue #2c in upper west side,10024,40.7860109:-73.9758633,Upper West Side,No Claim
284 west 137th street #3r in central harlem,10030,40.8173898:-73.94491719999999,Central Harlem,No Claim
41-10 bowne street #2c in flushing,11355,40.7594795:-73.8241144,North Queens,No Claim
64-22 ellwell crescent #2,11374,40.72143:-73.86436139999999,West Central Queens,Claim
1410 prospect place #d1,11213,40.6729979:-73.9298076,Central Brooklyn,Claim
67 cooper st #1a,10034,None,Inwood and Washington Heights,Claim
232 east 64th street #14 in lenox hill,10065,40.7638977:-73.9628426,Upper East Side,Claim
242 east 89th street #1d in yorkville,10128,40.7798791:-73.9509602,Upper East Side,Claim
153-50 89th avenue #810 in jamaica,11432,18.109581:-77.297508,Jamaica,Claim
135-20 82nd avenue #4j in briarwood,11435,40.7143246:-73.8225252,Jamaica,Claim
91-32 195th street #3k in holis,11423,40.712267:-73.766081,Jamaica,Claim
977 summit avenue #4d in highbridge,10452,40.83249199999999:-73.930891,High Bridge and Morrisania,Claim
25-98 36th street #5tp in astoria,11103,40.7669038:-73.9160462,Northwest Queens,No Claim
496 e 189th street #16 in belmont,10458,None,Bronx Park and Fordham,No Claim
3204 holland avenue #1b in williamsbridge,10467,40.8718098:-73.86494929999999,Bronx Park and Fordham,No Claim
523 east 85th street #3d in yorkville,10028,40.7748484:-73.9464301,Upper East Side,No Claim
1581 east 24th street #a6 in homecrest,10010,40.7394962:-73.982669,Gramercy Park and Murray Hill,No Claim
41-36 42nd street #3c in sunnyside,11104,40.7432759:-73.9196324,Northwest Queens,Claim
144-25 33rd avenue #3bb in murray hill,11354,40.7478792:-73.9756567,North Queens,Claim
1657 madison avenue #3b in south harlem,10029,40.7963698:-73.9472158,East Harlem,Claim
63-11 qns boulevard #21 in woodside,11377,40.7418242:-73.90194919999999,West Queens,No Claim
274 west 115th street #2aa in south harlem,10026,40.8033333:-73.9552923,Central Harlem,No Claim
245 east 124th street #5b in east harlem,10035,40.8024363:-73.9344844,East Harlem,No Claim
135-23 82nd avenue #4b in briarwood,11435,40.7109315:-73.81356099999999,Jamaica,No Claim
144-47 38th avenue #1f in murray hills,11354,40.7634787:-73.8209801,North Queens,Claim
160 allen street #19 in lower east side,10002,40.7209398:-73.9891458,Lower East Side,Claim
951 amsterdam avenue #2b in manhattan valley,10025,40.8007904:-73.965105,Upper West Side,Claim
407 west 39th street #w3c in hudson yards,10018,None,Chelsea and Clinton,Claim
39 first avenue #7 in east village,10003,40.72430500000001:-73.98810499999999,Lower East Side,Claim
17 vermilyea avenue #2a in inwood,10034,40.8646468:-73.9256934,Inwood and Washington Heights,No Claim
54 elizabeth street #54-20 in chinatown,10013,40.7172105:-73.9963676,Greenwich Village and Soho,No Claim
169 east 92nd street #e1 in carnegie hill,10128,40.783073:-73.951646,Upper East Side,Claim
955 coney island avenue #209 in ditmas park,11230,40.6343328:-73.9669308,Borough Park,Claim
23-20 30 drive #5dd in astoria,11102,40.7670573:-73.92734589999999,Northwest Queens,Claim
107 vanderveer street #1h in bushwick,11207,40.682537:-73.9032975,East New York and New Lots,No Claim
55 cumberland street #5 in fort greene,11205,40.6964535:-73.9743604,Northwest Brooklyn,No Claim
9101 shore road #102 in fort hamilton,11209,40.62114709999999:-74.03978380000001,Southwest Brooklyn,No Claim
31-19 32nd street #18 in astoria,11106,40.7633101:-73.9228703,Northwest Queens,No Claim
3660 broadway #51a in hamilton heights,10031,40.8302763:-73.9472912,Inwood and Washington Heights,No Claim
1675 east 21st street #2a in midwood,11210,40.6122026:-73.9525937,Flatbush,Claim
53-36 van dam street #2r in sunnyside,11101,40.7351337:-73.9376052,Northwest Queens,Claim
31-15 34th street #2b in astoria,11106,40.7626821:-73.92117089999999,Northwest Queens,Claim
260 audobon avenue #20l in washington heights,10033,40.8470741:-73.9339055,Inwood and Washington Heights,Claim
1369 first avenue #4c in lenox hill,10021,40.7689668:-73.9555295,Upper East Side,Claim
316 east 62nd street #5re in lenox hill,10065,40.7619917:-73.9623692,Upper East Side,Claim
315 west 121st street #6 in south harlem,10027,40.8082588:-73.9538688,Central Harlem,Claim
85-15 139th street #3e in briarwood,11435,40.7085445:-73.81661760000001,Jamaica,No Claim
64 hillside avenue #5v in fort george,10040,40.8585535:-73.9289123,Inwood and Washington Heights,No Claim
736 riverside drive #c in hamilton heights,10031,40.8308265:-73.9493099,Inwood and Washington Heights,No Claim
408 east 78th street #4bb in lenox hill,10075,40.7712577:-73.95267489999999,Upper East Side,No Claim
62 west 71st street #a in lincoln square,10023,40.7763458:-73.97890509999999,Upper West Side,No Claim
2171-2181 madison avenue #2a in central harlem,10037,40.8126318:-73.9352871,Central Harlem,No Claim
530 east 89th street #lj in yorkville,10128,40.77713749999999:-73.9444867,Upper East Side,No Claim
443 west 49th street #4e in hell's kitchen,10019,40.7637745:-73.99116819999999,Chelsea and Clinton,Claim
271 west 73rd street #1a in upper west side,10023,40.780352:-73.9833106,Upper West Side,Claim
647 second avenue #3c in murray hill,10016,40.7458019:-73.9755461,Gramercy Park and Murray Hill,Claim
94-06 34 road #b1 in jackson heights,11372,40.7535501:-73.87328529999999,West Queens,Claim
139-06 34 road #b2 in flushing,11354,40.7661826:-73.82879799999999,North Queens,No Claim
154 east 110th street #1 in east harlem,10029,40.7945489:-73.94418449999999,East Harlem,No Claim
165 east 36th street #1b in murray hill,10016,40.74728959999999:-73.9775531,Gramercy Park and Murray Hill,No Claim
1545 rhinelander avenue #4j in morris park,10461,40.8560915:-73.8420639,Southeast Bronx,No Claim
1045 morris avenue #2 in concourse,10456,None,High Bridge and Morrisania,No Claim
2409 creston avenue #3 in fordham,10468,40.8607517:-73.8994688,Bronx Park and Fordham,No Claim
168 21st street #3b in greenwood,11232,None,Sunset Park,No Claim
343 nostrand avenue #4r in  bedford-stuyvesant,11216,40.6865689:-73.9506085,Central Brooklyn,No Claim
37-52-37-56 80th street #4e in jackson heights,11372,40.74806:-73.8860969,West Queens,No Claim
320 east 34th street #5b in kips bay,10016,40.7440307:-73.9750406,Gramercy Park and Murray Hill,Claim
13 hamilton terrace #2e in hamilton heights,10031,40.8220445:-73.9467704,Inwood and Washington Heights,Claim
45 tudor city place #1102a in turtle bay,10017,40.7493702:-73.9699861,Gramercy Park and Murray Hill,No Claim
102 somers street #6 in ocean hill,11233,40.6789936:-73.90765619999999,Central Brooklyn,No Claim
596 edgecombe avenue #3a inwashington heights,10032,40.8354733:-73.9377732,Inwood and Washington Heights,No Claim
251 west 15th street #12 in chelsea,10011,40.7402624:-74.0011086,Chelsea and Clinton,Claim
