zip,Claim,No Claim
10001,1,2
10002,9,9
10003,5,1
10006,1,0
10009,3,3
10010,1,1
10011,1,1
10012,0,2
10013,2,3
10014,0,1
10016,5,4
10017,0,1
10018,4,1
10019,2,2
10021,8,4
10022,2,2
10023,2,5
10024,8,4
10025,5,6
10026,1,5
10027,3,3
10028,3,5
10029,6,5
10030,2,3
10031,4,7
10032,5,9
10033,6,6
10034,7,11
10035,2,5
10036,3,2
10037,1,2
10039,0,3
10040,4,5
10065,7,3
10075,3,4
10128,9,9
10301,1,0
10452,1,0
10453,0,2
10454,1,2
10456,0,1
10458,0,3
10459,0,1
10461,0,3
10463,4,3
10467,0,1
10468,1,2
10471,0,1
11101,2,0
11102,4,6
11103,5,10
11104,2,2
11105,7,0
11106,7,8
11201,1,0
11203,1,1
11204,0,1
11205,0,1
11206,0,2
11207,0,1
11209,0,6
11210,1,0
11211,0,1
11213,3,1
11215,3,1
11216,3,3
11217,1,1
11218,1,0
11219,0,1
11220,1,1
11221,4,3
11224,0,1
11225,1,0
11226,1,3
11229,1,0
11230,2,1
11231,1,0
11232,0,2
11233,1,2
11235,2,0
11237,2,1
11238,1,0
11354,8,3
11355,0,1
11358,1,0
11364,0,1
11368,0,1
11369,1,0
11370,2,0
11372,4,1
11373,5,3
11374,2,1
11375,6,3
11377,3,4
11378,0,1
11385,0,2
11415,1,3
11418,1,0
11423,1,0
11432,2,0
11435,3,3
