zip,Claim,No Claim,Pending,TBD
10001,0,2,1,0
10002,0,10,1,0
10003,1,1,4,0
10009,0,0,3,0
10010,0,1,0,0
10011,0,5,0,0
10012,0,3,2,0
10013,0,3,1,0
10014,0,1,1,0
10016,0,7,2,0
10017,0,3,2,0
10018,0,1,1,0
10019,0,7,2,0
10021,0,11,3,0
10022,1,5,1,0
10023,0,10,0,0
10024,0,10,3,0
10025,0,10,1,0
10026,0,1,2,0
10027,0,7,2,0
10028,0,18,3,0
10029,0,5,4,0
10030,0,2,1,0
10031,0,5,1,0
10032,0,4,1,0
10033,0,4,2,0
10034,0,1,2,0
10035,0,0,1,0
10036,0,3,1,0
10037,0,4,0,0
10038,0,2,0,0
10039,0,1,2,0
10040,0,2,1,0
10065,0,6,1,0
10075,0,8,2,0
10128,0,20,5,0
10301,0,1,3,0
10304,0,1,0,0
10310,0,1,0,0
10314,0,2,0,0
10451,0,1,0,0
10452,0,3,0,0
10454,0,2,0,0
10456,0,0,1,0
10457,0,0,1,0
10458,0,2,1,0
10461,0,2,0,0
10462,0,1,0,0
10463,0,8,0,0
10465,0,3,0,0
10467,0,1,0,0
10468,0,1,1,0
10469,0,2,0,0
10471,0,2,1,0
10472,0,0,1,0
10803,1,0,0,0
11101,1,5,0,0
11102,0,6,2,0
11103,0,7,3,0
11104,0,6,2,0
11105,0,6,2,0
11106,0,9,2,0
11201,1,1,1,1
11204,0,1,0,0
11205,0,1,0,0
11206,0,6,1,0
11207,0,2,2,0
11208,0,1,0,0
11209,0,2,2,1
11210,0,1,0,0
11211,0,2,0,0
11212,0,1,0,0
11213,0,2,3,0
11215,1,2,1,0
11216,0,4,2,0
11217,0,4,1,1
11218,0,3,1,0
11220,0,5,1,0
11221,0,7,6,1
11222,0,3,0,0
11224,0,2,0,0
11225,0,6,1,0
11226,0,12,3,0
11229,0,1,2,0
11230,0,2,1,0
11231,0,0,1,0
11233,0,2,1,0
11235,0,1,0,0
11237,0,8,1,0
11238,1,3,3,0
11354,0,2,0,0
11355,0,0,1,0
11360,0,2,0,0
11361,0,2,0,0
11368,0,0,2,0
11372,0,3,0,0
11373,0,4,0,0
11374,0,6,1,0
11375,0,8,2,0
11377,0,3,0,0
11378,0,1,0,0
11379,0,2,0,0
11385,0,8,1,0
11415,0,1,0,0
11421,0,1,0,0
11422,0,0,1,0
11427,0,1,0,0
11432,0,3,0,0
11435,0,3,1,0
