zip,Claim,No Claim,Pending,TBD
10002,1,3,1,0
10003,0,4,0,0
10004,0,1,0,0
10009,0,3,1,1
10011,0,2,1,0
10012,0,2,0,0
10013,1,0,1,0
10014,0,1,0,0
10016,0,6,0,0
10017,1,2,0,0
10021,0,2,1,0
10022,0,2,0,0
10023,1,3,0,0
10024,0,7,0,0
10025,0,3,1,0
10026,0,1,0,0
10027,0,3,0,0
10028,0,1,0,0
10030,0,1,0,0
10031,0,4,0,3
10032,0,0,1,0
10033,0,5,0,0
10035,0,1,0,0
10036,0,1,1,0
10037,0,0,0,1
10039,0,2,0,0
10040,0,2,0,0
10065,0,0,1,0
10075,0,3,0,0
10128,1,1,1,0
10468,0,0,1,0
11101,0,1,0,0
11102,0,3,1,0
11103,0,1,1,0
11104,0,1,0,0
11105,1,1,0,0
11106,0,3,0,0
11205,0,1,0,0
11209,0,1,0,0
11215,0,1,0,0
11216,1,0,1,0
11218,0,0,1,0
11219,0,1,0,0
11220,0,1,0,0
11225,0,0,2,0
11231,0,0,1,0
11238,1,1,1,0
11355,0,1,2,0
11373,0,0,1,0
11374,0,0,1,0
11375,0,2,1,0
11377,0,2,1,0
11385,0,1,0,0
11691,0,1,0,0
